Connecting to the chassis
Creating chassis object
Reserving ports
clearing...
time: 6
tcpAttemptRate: 100.1
tcpClientEstablishRate: 99.6
time: 8
tcpAttemptRate: 100.1
tcpClientEstablishRate: 99.6
time: 9
tcpAttemptRate: 150
tcpClientEstablishRate: 150
time: 10
tcpAttemptRate: 150
tcpClientEstablishRate: 150
time: 11
tcpAttemptRate: 200
tcpClientEstablishRate: 200
time: 12
tcpAttemptRate: 200
tcpClientEstablishRate: 200
time: 13
tcpAttemptRate: 250
tcpClientEstablishRate: 249
time: 15
tcpAttemptRate: 300
tcpClientEstablishRate: 300
time: 16
tcpAttemptRate: 350
tcpClientEstablishRate: 350
time: 17
tcpAttemptRate: 350
tcpClientEstablishRate: 350
time: 18
tcpAttemptRate: 400
tcpClientEstablishRate: 400
time: 19
tcpAttemptRate: 400
tcpClientEstablishRate: 400
time: 20
tcpAttemptRate: 450
tcpClientEstablishRate: 450
time: 21
tcpAttemptRate: 450
tcpClientEstablishRate: 450
time: 23
tcpAttemptRate: 550.3
tcpClientEstablishRate: 550.3
time: 24
tcpAttemptRate: 550.3
tcpClientEstablishRate: 550.3
time: 25
tcpAttemptRate: 600
tcpClientEstablishRate: 599
time: 26
tcpAttemptRate: 600
tcpClientEstablishRate: 599
time: 27
tcpAttemptRate: 650
tcpClientEstablishRate: 650
time: 28
tcpAttemptRate: 650
tcpClientEstablishRate: 650
time: 29
tcpAttemptRate: 749.5
tcpClientEstablishRate: 748.5
time: 31
tcpAttemptRate: 800.5
tcpClientEstablishRate: 797.5
time: 32
tcpAttemptRate: 800.5
tcpClientEstablishRate: 797.5
time: 33
tcpAttemptRate: 849
tcpClientEstablishRate: 845
time: 34
tcpAttemptRate: 901
tcpClientEstablishRate: 897
time: 35
tcpAttemptRate: 950
tcpClientEstablishRate: 948
time: 37
tcpAttemptRate: 999
tcpClientEstablishRate: 999
time: 38
tcpAttemptRate: 1050
tcpClientEstablishRate: 1049
time: 39
tcpAttemptRate: 1101
tcpClientEstablishRate: 1096
time: 40
tcpAttemptRate: 1151
tcpClientEstablishRate: 1149
time: 41
tcpAttemptRate: 1151
tcpClientEstablishRate: 1149
time: 42
tcpAttemptRate: 1200
tcpClientEstablishRate: 1197
time: 43
tcpAttemptRate: 1248
tcpClientEstablishRate: 1250
time: 45
tcpAttemptRate: 1352
tcpClientEstablishRate: 1348
time: 46
tcpAttemptRate: 1352
tcpClientEstablishRate: 1348
time: 47
tcpAttemptRate: 1400
tcpClientEstablishRate: 1394
time: 48
tcpAttemptRate: 1400
tcpClientEstablishRate: 1394
time: 49
tcpAttemptRate: 1448
tcpClientEstablishRate: 1449
time: 51
tcpAttemptRate: 1501
tcpClientEstablishRate: 1496
time: 52
tcpAttemptRate: 1501
tcpClientEstablishRate: 1496
time: 53
tcpAttemptRate: 1550
tcpClientEstablishRate: 1548
time: 54
tcpAttemptRate: 1599
tcpClientEstablishRate: 1595
time: 56
tcpAttemptRate: 1650
tcpClientEstablishRate: 1650
time: 57
tcpAttemptRate: 1702
tcpClientEstablishRate: 1697
time: 58
tcpAttemptRate: 1702
tcpClientEstablishRate: 1697
time: 59
tcpAttemptRate: 1750
tcpClientEstablishRate: 1750
time: 60
tcpAttemptRate: 1798
tcpClientEstablishRate: 1797
time: 61
tcpAttemptRate: 1850
tcpClientEstablishRate: 1846
time: 63
tcpAttemptRate: 1902
tcpClientEstablishRate: 1898
time: 64
tcpAttemptRate: 1902
tcpClientEstablishRate: 1898
time: 65
tcpAttemptRate: 1948
tcpClientEstablishRate: 1942
time: 67
tcpAttemptRate: 2001
tcpClientEstablishRate: 1995
time: 70
tcpAttemptRate: 2050
tcpClientEstablishRate: 2045
time: 74
tcpAttemptRate: 2200
tcpClientEstablishRate: 2164
time: 77
tcpAttemptRate: 2303
tcpClientEstablishRate: 2168
time: 83
tcpAttemptRate: 2447
tcpClientEstablishRate: 2160
time: 86
tcpAttemptRate: 2501
tcpClientEstablishRate: 2077
time: 89
tcpAttemptRate: 2408
