Connecting to the chassis
Creating chassis object
Reserving ports
Time: 6
appAttemptedRate: 1009
appSuccessfulRate: 1009
Time: 7
appAttemptedRate: 1009
appSuccessfulRate: 1009
Time: 8
appAttemptedRate: 1998
appSuccessfulRate: 1998
Time: 10
appAttemptedRate: 1998
appSuccessfulRate: 1998
Time: 11
appAttemptedRate: 2999
appSuccessfulRate: 2999
Time: 12
appAttemptedRate: 2999
appSuccessfulRate: 2999
Time: 13
appAttemptedRate: 4002
appSuccessfulRate: 4001
Time: 14
appAttemptedRate: 5002
appSuccessfulRate: 5003
Time: 15
appAttemptedRate: 5996
appSuccessfulRate: 5995
Time: 16
appAttemptedRate: 6999
appSuccessfulRate: 6999
Time: 17
appAttemptedRate: 8007
appSuccessfulRate: 8008
Time: 18
appAttemptedRate: 8007
appSuccessfulRate: 8008
Time: 19
appAttemptedRate: 8995
appSuccessfulRate: 8995
Time: 20
appAttemptedRate: 9990
appSuccessfulRate: 9989
Time: 21
appAttemptedRate: 9990
appSuccessfulRate: 9989
Time: 22
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 24
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 27
appAttemptedRate: 11310
appSuccessfulRate: 11180
Time: 28
appAttemptedRate: 11510
appSuccessfulRate: 11270
Time: 29
appAttemptedRate: 11510
appSuccessfulRate: 11270
Time: 30
appAttemptedRate: 12020
appSuccessfulRate: 11520
Time: 31
appAttemptedRate: 12020
appSuccessfulRate: 11520
Time: 32
appAttemptedRate: 11910
appSuccessfulRate: 11260
Time: 33
appAttemptedRate: 11610
appSuccessfulRate: 10970
Time: 34
appAttemptedRate: 14370
appSuccessfulRate: 14040
Found top value - canceling the test
clearing...
Cleared ratelist is 0 1009 1998 2999 4002 5002 5996 6999 8007 8995 9990 11000 11310 11510
0 1009 1998 2999 4002 5002 5996 6999 8007 8995 9990 11000 11310 11510
Looking for max  that works continuously
Running with tps: 11510
Time: 16
appAttemptedRate: 14620
appSuccessfulRate: 14490
Time: 18
appAttemptedRate: 14620
appSuccessfulRate: 14490
Time: 19
appAttemptedRate: 11830
appSuccessfulRate: 11820
Time: 20
appAttemptedRate: 11720
appSuccessfulRate: 11730
Time: 21
appAttemptedRate: 11720
appSuccessfulRate: 11720
Time: 22
appAttemptedRate: 11720
appSuccessfulRate: 11720
Time: 23
appAttemptedRate: 11660
appSuccessfulRate: 11660
Time: 24
appAttemptedRate: 11660
appSuccessfulRate: 11660
Time: 25
appAttemptedRate: 11480
appSuccessfulRate: 11480
Time: 26
appAttemptedRate: 11480
appSuccessfulRate: 11480
Time: 27
appAttemptedRate: 11650
appSuccessfulRate: 11660
Time: 28
appAttemptedRate: 11700
appSuccessfulRate: 11690
Time: 30
appAttemptedRate: 11820
appSuccessfulRate: 11800
Time: 31
appAttemptedRate: 11820
appSuccessfulRate: 11800
Time: 32
appAttemptedRate: 11950
appSuccessfulRate: 11930
Time: 33
appAttemptedRate: 11970
appSuccessfulRate: 11940
Time: 34
appAttemptedRate: 12190
appSuccessfulRate: 12130
Time: 35
appAttemptedRate: 12190
appSuccessfulRate: 12130
Time: 37
appAttemptedRate: 12710
appSuccessfulRate: 12720
Time: 38
appAttemptedRate: 12710
appSuccessfulRate: 12720
Time: 39
appAttemptedRate: 12730
appSuccessfulRate: 12710
Time: 41
appAttemptedRate: 12730
appSuccessfulRate: 12710
Time: 42
appAttemptedRate: 12540
appSuccessfulRate: 12600
Time: 43
appAttemptedRate: 12560
appSuccessfulRate: 12540
Time: 44
appAttemptedRate: 12560
appSuccessfulRate: 12540
Time: 46
appAttemptedRate: 12750
appSuccessfulRate: 12750
Time: 47
appAttemptedRate: 12750
appSuccessfulRate: 12750
Time: 48
appAttemptedRate: 12580
appSuccessfulRate: 12570
Time: 49
appAttemptedRate: 12600
appSuccessfulRate: 12570
Time: 50
appAttemptedRate: 12600
appSuccessfulRate: 12570
Time: 53
appAttemptedRate: 12620
appSuccessfulRate: 12620
Time: 54
appAttemptedRate: 12580
appSuccessfulRate: 12600
Time: 55
appAttemptedRate: 12580
appSuccessfulRate: 12600
Time: 56
appAttemptedRate: 12510
